exponente,pasada,tiempo_gen_nodos,tiempo_gen_arreglo,tiempo_gen_heap,tiempo_var1,tiempovar2,tiempo_var3,tiempo_var4
5,1,0.013595,0.069013,0.058302,0.00961,0.023834,0.004166,0.03506
5,2,0.019451,0.067886,0.048524,0.006604,0.051542,0.004111,0.02379
5,3,0.00835,0.079592,0.041246,0.005286,0.030137,0.004951,0.026284
5,4,0.008756,0.06747,0.048323,0.004172,0.025547,0.003419,0.027341
5,5,0.008961,0.073042,0.048412,0.003772,0.024978,0.003303,0.025432
6,1,0.010012,0.324034,0.225517,0.018227,0.056503,0.007648,0.054196
6,2,0.009887,0.294151,0.186423,0.009876,0.055471,0.007447,0.06756
6,3,0.012516,0.338013,0.184775,0.008511,0.053,0.007393,0.053399
6,4,0.009629,0.320537,0.228311,0.01701,0.069524,0.007598,0.070636
6,5,0.010785,0.342625,0.151081,0.008095,0.051364,0.006289,0.050895
7,1,0.012866,1.32536,0.815976,0.019958,0.16704,0.0162,0.129236
7,2,0.013056,1.39415,0.736936,0.057418,0.130607,0.015963,0.421387
7,3,0.016413,1.40191,0.824836,0.057973,0.179992,0.017327,0.15047
7,4,0.014559,1.52145,1.44508,0.061263,0.123936,0.01599,0.146008
7,5,0.014278,1.34115,0.730461,0.04447,0.140434,0.014631,0.120571
8,1,0.021357,6.65106,3.27336,0.23918,0.44846,0.05615,0.369793
8,2,0.035598,6.79362,3.14708,0.213306,0.375462,0.053227,0.370684
8,3,0.023746,6.52635,3.18608,0.188395,0.368492,0.049547,0.371959
8,4,0.024033,6.86404,3.28469,0.207846,0.389491,0.055357,0.367759
8,5,0.02426,6.61042,3.09477,0.240223,0.399282,0.051454,0.356964
9,1,0.042165,31.4407,11.9727,0.844196,1.63303,0.245708,1.38366
9,2,0.042815,29.3101,11.8905,0.729904,1.23549,0.429807,1.59125
9,3,0.04708,27.8883,12.1247,0.800806,1.29362,0.276246,1.71412
9,4,0.04542,28.502,12.7074,0.835488,2.48328,0.29396,1.42441
9,5,0.043201,30.8143,12.9523,0.763125,1.375,0.234394,1.29023
10,1,0.076648,126.316,48.52,3.28789,8.53499,0.865528,5.46527
10,2,0.212834,127.407,48.2312,3.87947,5.13564,0.830191,5.76015
10,3,0.119868,124.922,49.9591,3.65286,6.05754,1.37226,5.56203
10,4,0.085546,127.849,51.6236,3.44533,5.45995,0.859242,6.50495
10,5,0.077863,132.62,51.1049,4.73663,5.05908,0.802611,4.81044
11,1,0.18997,568.953,198.09,18.6789,20.2924,2.61677,23.326
11,2,0.158129,548.959,210.633,2.59918,10.8997,3.12948,24.2983
11,3,0.175357,536.936,194.412,2.52883,11.0699,2.69161,19.3765
11,4,0.166728,539.987,194.838,2.78977,11.1458,2.75073,20.1358
11,5,0.169225,539.068,204.831,2.59253,9.8534,2.6401,22.9617
12,1,0.324619,2420.21,785.503,62.2357,65.8258,42.8756,80.0188
12,2,0.555466,2400.81,820.066,68.0194,66.5558,42.346,64.1024
12,3,0.315305,2369.23,802.87,74.1456,66.0745,44.5221,66.3008
12,4,0.321331,2382.15,810.711,83.6456,63.822,42.3835,63.7014
12,5,0.711808,2395.25,818.396,84.8307,61.7032,41.8101,63.712
